82,6,21,2021-03-05--2021-03-12,Wants and Needs (feat. Lil Baby),7637626,Drake,56308172,65OVbaJR5O1RmwOQx0875b,2021-03-05,87
83,83,2,2021-07-23--2021-07-30,Bezos I,7516291,Bo Burnham,1042079,0Kdj7nwaYQmvhxnqZaIQuW,2021-06-10,84
84,76,3,2020-03-27--2020-04-03,Love Again,7465445,Dua Lipa,1250353,2sN1pMv6d2t5GlvN6IBMlK,2021-08-13,0
85,32,28,2021-04-30--2021-05-07,Goosebumps - Remix,7452633,"Travis Scott, HVME",17719446,5uEYRdEIh9Bo4fpjDd4Na9,2021-01-15,87
86,11,55,2020-10-09--2020-10-16,Head & Heart (feat. MNEK),7434252,Joel Corry,207547,6cx06DFPPHchuUAcTxznu9,2020-07-03,87
87,42,20,2021-04-23--2021-04-30,BED,7383369,"Joel Corry, RAYE, David Guetta",207547,0siYMEsGrzzzlWLXK5zJfS,2021-02-26,87
88,78,8,2021-07-02--2021-07-09,Iko Iko (My Bestie),7381585,"Justin Wellington, Small Jam",18228,7MC4XR9M9amdmKQr2iDF7i,2019-06-03,87
89,89,1,2021-07-23--2021-07-30,Better Believe,7365053,"Belly, The Weeknd, Young Thug",203972,3zs87EV3EZSh2UpiXxT52Y,2021-07-22,80
90,23,25,2021-04-02--2021-04-09,Arcade,7353795,Duncan Laurence,287361,1Xi84slp6FryDSCbzq4UCD,2019-03-07,84
91,55,13,2021-05-28--2021-06-04,512,7336542,"Mora, Jhay Cortez",151486,5jzEwSyyymBlf1fa1o39T2,2021-02-05,87
92,1,40,2020-10-30--2020-11-06,positions,7244853,Ariana Grande,67158068,35mvY5S1H3J2QZyna3TFe0,2020-10-30,86
93,6,84,2019-12-27--2020-01-03,Circles,7156162,Post Malone,33651775,21jGcNKet2qwijlDFuPiPb,2019-09-06,87
94,94,1,2021-07-23--2021-07-30,Blaues Licht,7084292,"RAF Camora, Bonez MC",1329531,08EPQiLMyGB8GJX2EiVoCM,2021-07-16,78
